1,0.65,0.7,0.7,0.05,0.05,0.7,0.7,0.7,0.7,0.65,0.75,0.7,0.05,0.05,0.05
0.65,1,0.05,0.05,0.05,0.05,0.65,0.65,0.05,0.65,0.5,0.75,0.75,0.5,0.05,0.5
0.65,0.65,1,0.05,0.05,0.05,0.5,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.5
0.65,0.65,0.05,1,0.05,0.05,0.65,0.65,0.45,0.65,0.65,0.05,0.55,0.05,0.05,0.65
0.05,0.05,0.05,0.05,1,0.65,0.85,0.5,0.65,0.05,0.75,0.05,0.65,0.05,0.05,0.05
0.05,0.65,0.05,0.05,0.05,1,0.05,0.85,0.05,0.05,0.65,0.05,0.55,0.05,0.05,0.05
0.05,0.05,0.05,0.05,0.05,0.05,1,0.05,0.05,0.05,0.65,0.05,0.05,0.65,0.05,0.55
0.65,0.65,0.5,0.5,0.5,0.05,0.65,1,0.65,0.05,0.65,0.65,0.55,0.05,0.55,0.65
0.65,0.95,0.5,0.95,0.5,0.05,0.45,0.95,1,0.5,0.65,0.05,0.05,0.05,0.05,0.65
0.65,0.65,0.05,0.65,0.05,0.05,0.65,0.05,0.5,1,0.65,0.05,0.5,0.05,0.05,0.65
0.65,0.65,0.75,0.75,0.55,0.05,0.45,0.75,0.75,0.75,1,0.55,0.55,0.75,0.5,0.75
0.65,0.65,0.05,0.05,0.75,0.05,0.65,0.65,0.65,0.05,0.5,1,0.75,0.05,0.65,0.85
0.45,0.55,0.05,0.05,0.05,0.05,0.05,0.75,0.05,0.65,0.65,0.65,1,0.05,0.75,0.75
0.45,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1,0.05,0.05
0.05,0.05,0.05,0.05,0.5,0.05,0.05,0.5,0.05,0.05,0.55,0.75,0.55,0.05,1,0.75
0.15,0.25,0.25,0.15,0.15,0.25,0.25,0.35,0.25,0.2,0.65,0.15,0.2,0.2,0.9,1
